FILE_NAME,DATA_TYPE,SITE,INV_NO,CUSTOMER_ID,CARD_CD,TRANS_DATE,ARTICLE,ART_NAME,ART_NO,BARCODE,DIVISION,DEPARTMENT,SUB_DEPT,CLASS,SUB_CLASS,SUPPL_NAME,BRAND,SALE_QTY,SALE_INVAT,SALE_EXVAT,GP_AMT,GP_P
RF123_D1_SALES_ST,D,17003 Chockchai 4,102044141,2221000000018,,02-01-2023,102900004-0,WRF ปลากระพงขาวตัว,102900004,0251837000002,05 FRESH FOOD,0520 SEAFOOD,052010 FISH,05201006 SEA FISH,0520100604 LOCAL SEAFISH,6002594 : ไทย เฮ ฮา บจก.,WE ARE FRESH,2.000,198.000,198.000,54.4800000000000000,27.5200000000000
RF123_D1_SALES_ST,D,17003 Chockchai 4,102044166,2221000000018,,02-01-2023,102900268-0,กระชอนพลาสติก 10 ซม.,102900268,8851120009389,02 HOME LINE,0210 HOUSEWARE,021010 TABLEWARE,02101015 TABLEWARE ACCESSORIES,0210101508 OTHER TABLE ACC.,7601057 : อ.โรจน์รุ่ง บจก.(MM_FOOD),OTHER,1.000,20.000,18.690,-2.3100000000000000,-12.3600000000000
RF123_D1_SALES_ST,D,17003 Chockchai 4,102044147,2221000000018,,02-01-2023,102903037-0,พริกขี้หนูแห้งเด็ดก้าน200ก.,102903037,2000007404328,05 FRESH FOOD,0530 PRODUCE,053030 VEGETABLES,05303008 DRY&PICKLED,0530300801 DRY,6600037 : ตะวันพืชผล บจก.(MM_FOOD),OTHER,1.000,52.000,52.000,20.0000000000000000,38.4600000000000
RF123_D1_SALES_ST,D,17003 Chockchai 4,102044171,2221000000018,,02-01-2023,102907401-0,ซีเจโกชูจัง 1 กก.,102907401,8801007052496,04 DRY FOOD,0430 SALTED GROCERY,043040 COOKING INGRED.,04304004 SEASONINGS,0430400401 SPICE PASTES,6600131 : โปรไทย บจก. (MM_FOOD),OTHER,1.000,250.000,233.640,45.1400000000000000,19.3200000000000
RF123_D1_SALES_ST,D,17003 Chockchai 4,101072139,2221000000018,,02-01-2023,102907526-0,ไฮยีนเนเจอร์ชมพู 1150มลP2,102907526,8850092275921,04 DRY FOOD,0470 HOUSEHOLD,047010 LAUNDRY,04701003 FABRIC SOFTENER,0470100302 CONCENTRATE,6600049 : ไอ.พี. วัน บจก.(MM_FOOD),HYGIENE,1.000,219.000,204.670,32.7500000000000000,16.0000000000000
RF123_D1_SALES_ST,D,17003 Chockchai 4,103019111,2221000000018,,02-01-2023,102943684-0,IMP_ซาวอรี่ ซีวีด4ก.P12,102943684,8801007685632,04 DRY FOOD,0420 SWEETED GROCE.2,042070 SEA SNACKS,04207002 SEAWEED,0420700201 SEAWEED,6600131 : โปรไทย บจก. (MM_FOOD),OTHER,1.000,189.000,176.630,57.6300000000000000,32.6300000000000
RF123_D1_SALES_ST,D,17003 Chockchai 4,103005249F,2221000013409,,02-01-2023,102958200-0,เฟอร์เชย์ริชแยมสตรอ24P 360,102958200,8858709603969,04 DRY FOOD,0420 SWEETED GROCE.2,042060 BISCUITS,04206002 CAKES/ PIES,0420600201 CAKES,6600283 : นิว ไทย ที เบเกอรี่ หจก.(MM_FOOD),OTHER,1.000,58.000,54.210,8.7100000000000000,16.0700000000000
RF123_D1_SALES_ST,D,17003 Chockchai 4,103019137,2221000000018,,02-01-2023,102966853-0,คิงเชฟ ข้าวคั่วกลิ้งเจ 200 ก.,102966853,8859526802337,05 FRESH FOOD,0570 FROZEN,057020 FROZEN MEAL,05702001 MAIN DISH,0570200103 RICE,6600092 : คิงส์ วิช บจก. (อาหารพร้อมทาน) MM,KING CHEF,1.000,39.000,36.450,9.1000000000000000,24.9700000000000
RF123_D1_SALES_ST,D,17004 FOBCHR,101002944,2221000000018,,02-01-2023,100517014-0,เมจินมสดโกลด์แม็กซ์ 946CC,100517014,8850329183715,05 FRESH FOOD,0560 PERISHABLE,056010 DAIRY,05601001 FRESH MILK,0560100107 OTHER,6600139 : ซีพี-เมจิ บจก. (MM_FOOD),MEIJI,1.000,60.500,60.500,11.4900000000000000,18.9900000000000
RF123_D1_SALES_ST,D,17004 FOBCHR,101002911,2221000000018,,02-01-2023,100522869-0,ดัชมิลล์นมเปรี้ยวสตรอ100มล*6,100522869,8851717031014,05 FRESH FOOD,0560 PERISHABLE,056010 DAIRY,05601002 YOGURT DRINK,0560100203 STRAWBERRY,6600059 : ดัชมิลล์ บจก.(MM_FOOD),DUTCH MILL,1.000,46.000,42.990,7.7200000000000000,17.9600000000000
